City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
124,Yarmouth,US,2022-01-29 21:53:14,41.7057,-70.2286,25.47,96,100,38.77
125,Georgetown,MY,2022-01-29 21:53:14,5.4112,100.3354,81.9,90,20,1.01
126,Praia Da Vitoria,PT,2022-01-29 21:53:15,38.7333,-27.0667,59.25,88,75,10.38
127,Schruns,AT,2022-01-29 21:53:15,47.0709,9.9475,33.6,100,46,3.94
128,At-Bashi,KG,2022-01-29 21:53:16,41.1702,75.8106,2.08,79,65,2.82
129,Yellowknife,CA,2022-01-29 21:53:16,62.456,-114.3525,-4.59,83,75,6.91
130,Enshi,CN,2022-01-29 21:53:16,30.3,109.4833,35.69,92,72,1.66
131,Yumen,CN,2022-01-29 21:53:17,40.2833,97.2,13.03,64,0,5.84
132,Abay,KZ,2022-01-29 21:53:17,49.6311,72.8539,21.58,93,99,11.61
133,The Valley,AI,2022-01-29 21:53:17,18.217,-63.0578,82.26,65,20,10.36
134,Avera,US,2022-01-29 21:53:18,33.194,-82.5271,42.75,26,0,12.95
135,Nacala,MZ,2022-01-29 21:53:19,-14.5428,40.6728,75.45,87,85,4.12
136,Fare,PF,2022-01-29 21:53:19,-16.7,-151.0167,80.55,73,11,11.39
137,La Ronge,CA,2022-01-29 21:54:20,55.1001,-105.2842,8.85,66,75,3.44
138,Zemes,RO,2022-01-29 21:54:20,46.5833,26.4167,24.21,77,80,7.78
139,Praia,CV,2022-01-29 21:54:21,14.9215,-23.5087,70.34,68,75,14.97
140,Chuy,UY,2022-01-29 21:54:21,-33.6971,-53.4616,71.42,68,16,10.65
141,Sorland,NO,2022-01-29 21:54:21,67.667,12.6934,33.66,67,100,20.76
142,Sao Filipe,CV,2022-01-29 21:54:22,14.8961,-24.4956,71.1,72,100,13.13
